Nombre;Traduction_soussou
1;kérén
2;̀fírín
3;sàxán
4;náání
5;súlí
6;sénní
7;sólófèré
8;sólómásàxán
9;sólómánáání
10;fuú
11;fuú nŭn kérén
12;fuú nŭn ̀fírín
13;fuú nŭn sàxán
14;fuú nŭn náání
15;fuú nŭn súlí
16;fuú nŭn sénní
17;fuú nŭn sólófèré
18;fuú nŭn sólómásàxán
19;fuú nŭn sólómánáání
20;m̀ɔx̀ɔǵɛŋ
21;m̀ɔx̀ɔǵɛŋ nŭn kérén
22;m̀ɔx̀ɔǵɛŋ nŭn ̀fírín
23;m̀ɔx̀ɔǵɛŋ nŭn sàxán
24;m̀ɔx̀ɔǵɛŋ nŭn náání
25;m̀ɔx̀ɔǵɛŋ nŭn súlí
26;m̀ɔx̀ɔǵɛŋ nŭn sénní
27;m̀ɔx̀ɔǵɛŋ nŭn sólófèré
28;m̀ɔx̀ɔǵɛŋ nŭn sólómásàxán
29;m̀ɔx̀ɔǵɛŋ nŭn sólómánáání
30;tòngó sàxán
31;tòngó sàxán nŭn kérén
32;tòngó sàxán nŭn ̀fírín
33;tòngó sàxán nŭn sàxán
34;tòngó sàxán nŭn náání
35;tòngó sàxán nŭn súlí
36;tòngó sàxán nŭn sénní
37;tòngó sàxán nŭn sólófèré
38;tòngó sàxán nŭn sólómásàxán
39;tòngó sàxán nŭn sólómánáání
40;tòngó náání
41;tòngó náání nŭn kérén
42;tòngó náání nŭn ̀fírín
43;tòngó náání nŭn sàxán
44;tòngó náání nŭn náání
45;tòngó náání nŭn súlí
46;tòngó náání nŭn sénní
47;tòngó náání nŭn sólófèré
48;tòngó náání nŭn sólómásàxán
49;tòngó náání nŭn sólómánáání
50;tòngó súlí
51;tòngó súlí nŭn kérén
52;tòngó súlí nŭn ̀fírín
53;tòngó súlí nŭn sàxán
54;tòngó súlí nŭn náání
55;tòngó súlí nŭn súlí
56;tòngó súlí nŭn sénní
57;tòngó súlí nŭn sólófèré
58;tòngó súlí nŭn sólómásàxán
59;tòngó súlí nŭn sólómánáání
60;tòngó sénní
61;tòngó sénní nŭn kérén
62;tòngó sénní nŭn ̀fírín
63;tòngó sénní nŭn sàxán
64;tòngó sénní nŭn náání
65;tòngó sénní nŭn súlí
66;tòngó sénní nŭn sénní
67;tòngó sénní nŭn sólófèré
68;tòngó sénní nŭn sólómásàxán
69;tòngó sénní nŭn sólómánáání
70;tòngó sólófèré
71;tòngó sólófèré nŭn kérén
72;tòngó sólófèré nŭn ̀fírín
73;tòngó sólófèré nŭn sàxán
74;tòngó sólófèré nŭn náání
75;tòngó sólófèré nŭn súlí
76;tòngó sólófèré nŭn sénní
77;tòngó sólófèré nŭn sólófèré
78;tòngó sólófèré nŭn sólómásàxán
79;tòngó sólófèré nŭn sólómánáání
80;tòngó sólómásàxán
81;tòngó sólómásàxán nŭn kérén
82;tòngó sólómásàxán nŭn ̀fírín
83;tòngó sólómásàxán nŭn sàxán
84;tòngó sólómásàxán nŭn náání
85;tòngó sólómásàxán nŭn súlí
86;tòngó sólómásàxán nŭn sénní
87;tòngó sólómásàxán nŭn sólófèré
88;tòngó sólómásàxán nŭn sólómásàxán
89;tòngó sólómásàxán nŭn sólómánáání
90;tòngó sólómánáání
91;tòngó sólómánáání nŭn kérén
92;tòngó sólómánáání nŭn ̀fírín
93;tòngó sólómánáání nŭn sàxán
94;tòngó sólómánáání nŭn náání
95;tòngó sólómánáání nŭn súlí
96;tòngó sólómánáání nŭn sénní
97;tòngó sólómánáání nŭn sólófèré
98;tòngó sólómánáání nŭn sólómásàxán
99;tòngó sólómánáání nŭn sólómánáání
100;k̀ɛḿɛ
101;k̀ɛḿɛ kérén
102;k̀ɛḿɛ ̀fírín
103;k̀ɛḿɛ sàxán
104;k̀ɛḿɛ náání
105;k̀ɛḿɛ súlí
106;k̀ɛḿɛ sénní
107;k̀ɛḿɛ sólófèré
108;k̀ɛḿɛ sólómásàxán
109;k̀ɛḿɛ sólómánáání
110;k̀ɛḿɛ fuú
111;k̀ɛḿɛ fuú nŭn kérén
112;k̀ɛḿɛ fuú nŭn ̀fírín
113;k̀ɛḿɛ fuú nŭn sàxán
114;k̀ɛḿɛ fuú nŭn náání
115;k̀ɛḿɛ fuú nŭn súlí
116;k̀ɛḿɛ fuú nŭn sénní
117;k̀ɛḿɛ fuú nŭn sólófèré
118;k̀ɛḿɛ fuú nŭn sólómásàxán
119;k̀ɛḿɛ fuú nŭn sólómánáání
120;k̀ɛḿɛ m̀ɔx̀ɔǵɛŋ
121;k̀ɛḿɛ m̀ɔx̀ɔǵɛŋ nŭn kérén
122;k̀ɛḿɛ m̀ɔx̀ɔǵɛŋ nŭn ̀fírín
123;k̀ɛḿɛ m̀ɔx̀ɔǵɛŋ nŭn sàxán
124;k̀ɛḿɛ m̀ɔx̀ɔǵɛŋ nŭn náání
125;k̀ɛḿɛ m̀ɔx̀ɔǵɛŋ nŭn súlí
126;k̀ɛḿɛ m̀ɔx̀ɔǵɛŋ nŭn sénní
127;k̀ɛḿɛ m̀ɔx̀ɔǵɛŋ nŭn sólófèré
128;k̀ɛḿɛ m̀ɔx̀ɔǵɛŋ nŭn sólómásàxán
129;k̀ɛḿɛ m̀ɔx̀ɔǵɛŋ nŭn sólómánáání
130;k̀ɛḿɛ tòngó sàxán
131;k̀ɛḿɛ tòngó sàxán nŭn kérén
132;k̀ɛḿɛ tòngó sàxán nŭn ̀fírín
133;k̀ɛḿɛ tòngó sàxán nŭn sàxán
134;k̀ɛḿɛ tòngó sàxán nŭn náání
135;k̀ɛḿɛ tòngó sàxán nŭn súlí
136;k̀ɛḿɛ tòngó sàxán nŭn sénní
137;k̀ɛḿɛ tòngó sàxán nŭn sólófèré
138;k̀ɛḿɛ tòngó sàxán nŭn sólómásàxán
139;k̀ɛḿɛ tòngó sàxán nŭn sólómánáání
140;k̀ɛḿɛ tòngó náání
141;k̀ɛḿɛ tòngó náání nŭn kérén
142;k̀ɛḿɛ tòngó náání nŭn ̀fírín
143;k̀ɛḿɛ tòngó náání nŭn sàxán
144;k̀ɛḿɛ tòngó náání nŭn náání
145;k̀ɛḿɛ tòngó náání nŭn súlí
146;k̀ɛḿɛ tòngó náání nŭn sénní
147;k̀ɛḿɛ tòngó náání nŭn sólófèré
148;k̀ɛḿɛ tòngó náání nŭn sólómásàxán
149;k̀ɛḿɛ tòngó náání nŭn sólómánáání
150;k̀ɛḿɛ tòngó súlí
151;k̀ɛḿɛ tòngó súlí nŭn kérén
152;k̀ɛḿɛ tòngó súlí nŭn ̀fírín
153;k̀ɛḿɛ tòngó súlí nŭn sàxán
154;k̀ɛḿɛ tòngó súlí nŭn náání
155;k̀ɛḿɛ tòngó súlí nŭn súlí
156;k̀ɛḿɛ tòngó súlí nŭn sénní
157;k̀ɛḿɛ tòngó súlí nŭn sólófèré
158;k̀ɛḿɛ tòngó súlí nŭn sólómásàxán
159;k̀ɛḿɛ tòngó súlí nŭn sólómánáání
160;k̀ɛḿɛ tòngó sénní
161;k̀ɛḿɛ tòngó sénní nŭn kérén
162;k̀ɛḿɛ tòngó sénní nŭn ̀fírín
163;k̀ɛḿɛ tòngó sénní nŭn sàxán
164;k̀ɛḿɛ tòngó sénní nŭn náání
165;k̀ɛḿɛ tòngó sénní nŭn súlí
166;k̀ɛḿɛ tòngó sénní nŭn sénní
167;k̀ɛḿɛ tòngó sénní nŭn sólófèré
168;k̀ɛḿɛ tòngó sénní nŭn sólómásàxán
169;k̀ɛḿɛ tòngó sénní nŭn sólómánáání
170;k̀ɛḿɛ tòngó sólófèré
171;k̀ɛḿɛ tòngó sólófèré nŭn kérén
172;k̀ɛḿɛ tòngó sólófèré nŭn ̀fírín
173;k̀ɛḿɛ tòngó sólófèré nŭn sàxán
174;k̀ɛḿɛ tòngó sólófèré nŭn náání
175;k̀ɛḿɛ tòngó sólófèré nŭn súlí
176;k̀ɛḿɛ tòngó sólófèré nŭn sénní
177;k̀ɛḿɛ tòngó sólófèré nŭn sólófèré
178;k̀ɛḿɛ tòngó sólófèré nŭn sólómásàxán
179;k̀ɛḿɛ tòngó sólófèré nŭn sólómánáání
180;k̀ɛḿɛ tòngó sólómásàxán
181;k̀ɛḿɛ tòngó sólómásàxán nŭn kérén
182;k̀ɛḿɛ tòngó sólómásàxán nŭn ̀fírín
183;k̀ɛḿɛ tòngó sólómásàxán nŭn sàxán
184;k̀ɛḿɛ tòngó sólómásàxán nŭn náání
185;k̀ɛḿɛ tòngó sólómásàxán nŭn súlí
186;k̀ɛḿɛ tòngó sólómásàxán nŭn sénní
187;k̀ɛḿɛ tòngó sólómásàxán nŭn sólófèré
188;k̀ɛḿɛ tòngó sólómásàxán nŭn sólómásàxán
